Arduino Time, Sensor 1, Sensor 2, Sensor 3, Sensor 4, Processing Time, Frame #, Condition
6702, 0, 0, 81, 0, 8575, 0, 0
6717, 37, 0, 37, 0, 8591, 0, 0
6737, 126, 0, 48, 0, 8609, 0, 0
6753, 170, 0, 34, 0, 8624, 0, 0
6773, 257, 0, 45, 0, 8641, 0, 0
6784, 344, 0, 32, 0, 8657, 0, 0
6804, 479, 0, 30, 0, 8676, 0, 0
6819, 556, 0, 25, 0, 8693, 0, 0
6835, 595, 0, 7, 0, 8708, 0, 0
6855, 632, 0, 39, 0, 8727, 0, 0
6872, 659, 0, 25, 0, 8740, 0, 0
6887, 678, 0, 8, 0, 8757, 0, 0
6902, 686, 0, 31, 0, 8774, 0, 0
6918, 700, 0, 46, 0, 8790, 0, 0
6938, 706, 0, 28, 0, 8808, 0, 0
6953, 716, 0, 19, 0, 8824, 0, 0
6969, 718, 0, 11, 0, 8843, 0, 0
6979, 724, 0, 31, 0, 8859, 0, 0
7005, 737, 0, 13, 0, 8876, 0, 0
7015, 739, 0, 25, 0, 8890, 0, 0
7035, 749, 0, 20, 0, 8910, 0, 0
7046, 753, 0, 0, 0, 8929, 0, 0
7071, 755, 0, 4, 0, 8955, 0, 0
7097, 759, 0, 24, 0, 8972, 0, 0
7117, 759, 0, 39, 0, 8989, 0, 0
7128, 760, 0, 0, 0, 9011, 0, 0
7138, 760, 0, 36, 0, 9035, 0, 0
7184, 764, 0, 27, 0, 9054, 0, 0
7199, 763, 0, 64, 0, 9072, 0, 0
7221, 762, 0, 53, 0, 9087, 0, 0
7236, 761, 0, 40, 0, 9105, 0, 0
7251, 760, 0, 5, 0, 9123, 0, 0
7262, 762, 0, 37, 0, 9141, 0, 0
7287, 758, 0, 0, 0, 9161, 0, 0
7298, 757, 0, 35, 0, 9173, 0, 0
7318, 755, 0, 32, 0, 9188, 0, 0
7328, 756, 0, 0, 0, 9206, 0, 0
7349, 754, 0, 0, 0, 9222, 0, 0
7369, 754, 0, 0, 0, 9243, 0, 0
